Category ,Sub-Category,Item
Application Support,Frameworks,Support
Application Support,Frameworks,Development Request
Application Support,Frameworks,Customer Credits/Refunds
Application Support,Frameworks,Customer Management
Application Support,Frameworks,Customer Payment Allocation
Application Support,Frameworks,Customer Price Management
Application Support,Frameworks,Finance (General Ledger)
Application Support,Frameworks,Finance (Other)
Application Support,Frameworks,Picking Process
Application Support,Frameworks,Point Of Sale
Application Support,Frameworks,Point Of Sale - Eftpos
Application Support,Frameworks,Printing Issue
Application Support,Frameworks,Product Management
Application Support,Frameworks,Product Stock Management
Application Support,Frameworks,Production/TAF Processing
Application Support,Frameworks,Purchasing/Receipting
Application Support,Frameworks,Reporting Request
Application Support,Frameworks,Rewards Programs
Application Support,Frameworks,Sales Orders/Quotes
Application Support,Frameworks,Supplier Credit Claims
Application Support,Frameworks,Supplier EDI
Application Support,Frameworks,Supplier Invoice Processing
Application Support,Frameworks,Supplier Management
Application Support,Frameworks,System Config/Setup
Application Support,Frameworks,Till Reconciliation/Banking
Application Support,Frameworks,Training Request
Application Support,Frameworks,Transport Scheduling
Application Support,Frameworks,User Admin
Application Support,Frameworks,Other (only use if the item is missing)
Application Support,Prostix,Support
Application Support,Prostix,Other (only use if the item is missing)
Application Support,Salesforce,Support
Application Support,Salesforce,Enhancement
Application Support,Salesforce,Development Request
Application Support,Salesforce,Feedback
Application Support,Salesforce,Other (only use if the item is missing)
Application Support,Integrations,Configuration
Application Support,Integrations,Testing
Application Support,Integrations,Error Handling & Logging
Application Support,Integrations,Other (only use if the item is missing)
Application Support,Integrations,Access Control
Application Support,Nuvu,New Reporting
Application Support,Nuvu,Report Management
Application Support,Nuvu,Troubleshooting
Application Support,Nuvu,Other (only use if the item is missing)
Application Support,Freshservice,Outage Notification
Application Support,Freshservice,Error
Application Support,Freshservice,Testing
Application Support,Freshservice,Configuration
Application Support,Freshservice,Workflow
Application Support,Freshservice,Documentation
Application Support,Freshservice,Forms
Application Support,Freshservice,Other (only use if the item is missing)
Application Support,Phocas,New Reporting
Application Support,Phocas,Development Request
Application Support,Phocas,Report/Data Management
Application Support,Phocas,Troubleshooting
Application Support,Phocas,New User
Application Support,Phocas,Other (only use if the item is missing)
Application Support,Netfira,
Application Support,D-Track,
Application Support,Supported Apps/Sites,Corporate Traveller
Application Support,Supported Apps/Sites,Ready Workforce
Application Support,Supported Apps/Sites,Red Seed
Application Support,Supported Apps/Sites,Our Toolbox
Application Support,Supported Apps/Sites,Other
Application Support,Builder Connect,Support
Application Support,Builder Connect,Sync Issue
Application Support,Builder Connect,Development Request
Application Support,Builder Connect,Bug
Application Support,Inventory,Frameworks Requisitions
Application Support,Inventory,Stock Non-negotiables
Application Support,Inventory,Stock Adjustments
Application Support,Inventory,Product Minimum Adjustments
Application Support,Inventory,1%ers - Light Bulb
Application Support,Inventory,Other
Application Support,Logistics,External Transport Contractors
Application Support,Logistics,DBC Transport
Application Support,Logistics,Freight In
Application Support,Logistics,Goods Out
Application Support,Logistics,1%ers - Light Bulb
Application Support,Logistics,Other
Software,Teams,
Software,Outlook,
Software,Word,
Software,Excel,
Software,Microsoft 365,Licence Management
Software,Microsoft 365,License Issue
Software,Microsoft 365,Exchange Online
Software,Microsoft 365,Install
Software,Microsoft 365 Copilot,
Software,PowerPoint,
Software,OneDrive,
Software,Visio,
Software,Power BI,
Software,Adobe,
Software,Google,
Software,Pryda,
Software,Production Manager,
Software,Nuvu,
